"","state","businesses","employees","total.wages","weekly.pay","annual.pay"
"19","Alabama",132001,1910169,99619444620,1003,52152
"1192","Alaska",22665,297334,18354935202,1187,61732
"1740","Arizona",169727,2823475,164970554658,1124,58428
"2044","Arkansas",93422,1174759,57148842057,936,48647
"3354","California",1627484,16376295,1301826279330,1529,79495
"4414","Colorado",218253,2601351,173411678304,1282,66662
"5558","Connecticut",125052,1545808,116545842837,1450,75395
"5738","Delaware",35105,427041,26673969369,1201,62462
"5824","District of Columbia",42719,726273,77737220878,2058,107036
"5870","Florida",747034,8444982,471508743986,1074,55833
"7112","Georgia",310168,4309934,253717811481,1132,58868
"9977","Hawaii",45976,559941,32437465781,1114,57930
"10082","Idaho",69268,748390,35679388984,917,47675
"10865","Illinois",379622,5569112,369176545312,1275,66290
"12625","Indiana",173059,2918748,151556913852,999,51925
"14227","Iowa",105129,1475904,77220957178,1006,52321
"15942","Kansas",88075,1328904,68403172646,990,51473
"17748","Kentucky",127450,1793494,91066910262,976,50776
"19883","Louisiana",138723,1779669,92485643836,999,51968
"21037","Maine",54367,584058,30333305871,999,51935
"21350","Maryland",175379,2515092,173243328894,1325,68882
"21813","Massachusetts",263197,3324917,278211225027,1609,83675
"22097","Michigan",267282,3970328,235965361233,1143,59432
"23623","Minnesota",182089,2706547,173629337695,1234,64152
"25140","Mississippi",74699,1090083,47101469643,831,43209
"26560","Missouri",217433,2675250,144510683353,1039,54018
"28548","Montana",52449,456796,22121420452,931,48427
"29539","Nebraska",70469,947460,48791098774,990,51497
"31116","Nevada",87064,1265308,70824061804,1076,55974
"31447","New Hampshire",55389,624666,40520557518,1247,64868
"31662","New Jersey",282370,3752063,277478069932,1422,73953
"32076","New Mexico",63508,781563,39357058551,968,50357
"32667","New York",653202,8587517,713768210472,1598,83117
"33819","North Carolina",298196,4322076,242967582066,1081,56215
"35553","North Dakota",32431,395968,21961925705,1067,55464
"36471","Ohio",305388,5124601,286276896545,1074,55863
"38059","Oklahoma",112652,1549720,76863308907,954,49598
"39399","Oregon",163413,1835663,110008363835,1152,59928
"40082","Pennsylvania",363162,5488654,340526094684,1193,62042
"41255","Rhode Island",39975,444469,26889009734,1163,60497
"41380","South Carolina",145748,2027881,100476804977,953,49548
"42211","South Dakota",34995,416866,20492157655,945,49158
"43349","Tennessee",172607,2915020,160739313292,1060,55142
"45031","Texas",736150,12069431,758744722504,1209,62865
"49573","Utah",113084,1504722,82492474698,1054,54822
"50089","Vermont",26315,283488,15326087761,1040,54063
"50366","Virginia",283780,3744370,243930661772,1253,65146
"52781","Washington",258080,3258341,250145926460,1476,76771
"53477","West Virginia",51343,642016,31281445619,937,48724
"54462","Wisconsin",180478,2729548,146886914939,1035,53814
"55719","Wyoming",27330,260903,13303545012,981,50990
