"","date","mse","error","offset"
"1","2020-03-18",0,0,"0"
"2","2020-03-19",0,0,"0"
"3","2020-03-20",0,0,"0"
"4","2020-03-21",0,0,"0"
"5","2020-03-22",0,0,"0"
"6","2020-03-23",0,0,"0"
"7","2020-03-24",0,0,"0"
"8","2020-03-25",0,0,"0"
"9","2020-03-26",0,0,"0"
"10","2020-03-27",0,0,"0"
"11","2020-03-28",0,0,"0"
"12","2020-03-29",0,0,"0"
"13","2020-03-30",0,0,"0"
"14","2020-03-31",0,0,"0"
"15","2020-04-01",0,0,"0"
"16","2020-04-02",0,0,"0"
"17","2020-04-03",0,0,"0"
"18","2020-04-04",0,0,"0"
"19","2020-04-05",0,0,"0"
"20","2020-04-06",0,0,"0"
"21","2020-04-07",0,0,"0"
"22","2020-04-08",0,0,"0"
"23","2020-04-09",0,0,"0"
"24","2020-04-10",0,0,"0"
"25","2020-04-11",0,0,"0"
"26","2020-04-12",0,0,"0"
"27","2020-04-13",0,0,"0"
"28","2020-04-14",0,0,"0"
"29","2020-04-15",0,0,"0"
"30","2020-04-16",0,0,"0"
"31","2020-04-17",5384,0,"8"
"32","2020-04-18",5480,0,"8"
"33","2020-04-19",5500,0,"8"
"34","2020-04-20",5711,0,"8"
"35","2020-04-21",5540,0,"9"
"36","2020-04-22",5118,0,"10"
"37","2020-04-23",4520,0,"10"
"38","2020-04-24",3928,0,"11"
"39","2020-04-25",3396,0,"12"
"40","2020-04-26",2854,0,"12"
"41","2020-04-27",2451,0,"12"
"42","2020-04-28",2091,0,"13"
"43","2020-04-29",1826,1,"13"
"44","2020-04-30",1580,1,"13"
"45","2020-05-01",1392,1,"13"
"46","2020-05-02",1170,1,"13"
"47","2020-05-03",922,1,"14"
"48","2020-05-04",1169,1,"14"
"49","2020-05-05",1653,1,"14"
"50","2020-05-06",2150,0,"15"
"51","2020-05-07",2722,0,"15"
"52","2020-05-08",3302,0,"16"
"53","2020-05-09",3643,0,"16"
"54","2020-05-10",4185,0,"14"
"55","2020-05-11",4640,0,"14"
"56","2020-05-12",4840,0,"14"
"57","2020-05-13",5121,0,"15"
"58","2020-05-14",5216,0,"8"
"59","2020-05-15",5012,0,"8"
"60","2020-05-16",4763,0,"8"
"61","2020-05-17",4542,0,"8"
"62","2020-05-18",4406,0,"8"
"63","2020-05-19",4352,0,"8"
"64","2020-05-20",3854,0,"8"
"65","2020-05-21",2894,0,"8"
"66","2020-05-22",2085,0,"8"
"67","2020-05-23",1674,1,"8"
"68","2020-05-24",1554,1,"8"
"69","2020-05-25",1775,1,"8"
"70","2020-05-26",1833,1,"8"
"71","2020-05-27",1790,1,"8"
"72","2020-05-28",1547,1,"14"
"73","2020-05-29",1358,1,"14"
"74","2020-05-30",1274,1,"14"
"75","2020-05-31",1362,1,"14"
"76","2020-06-01",1571,1,"14"
"77","2020-06-02",1770,1,"14"
"78","2020-06-03",2046,0,"15"
"79","2020-06-04",2214,0,"21"
"80","2020-06-05",2291,0,"21"
"81","2020-06-06",2324,0,"21"
"82","2020-06-07",2472,0,"21"
"83","2020-06-08",2772,0,"21"
"84","2020-06-09",2980,0,"21"
"85","2020-06-10",2712,0,"22"
"86","2020-06-11",2433,0,"22"
"87","2020-06-12",2525,0,"29"
"88","2020-06-13",2798,0,"28"
"89","2020-06-14",3338,0,"28"
"90","2020-06-15",4111,0,"28"
"91","2020-06-16",4383,0,"28"
"92","2020-06-17",4197,0,"29"
"93","2020-06-18",3762,0,"29"
"94","2020-06-19",3384,0,"28"
"95","2020-06-20",3233,0,"28"
"96","2020-06-21",3405,0,"28"
"97","2020-06-22",3441,0,"28"
"98","2020-06-23",3467,0,"28"
"99","2020-06-24",3119,0,"28"
"100","2020-06-25",2371,0,"28"
"101","2020-06-26",1741,1,"29"
"102","2020-06-27",1434,1,"11"
"103","2020-06-28",1472,1,"12"
"104","2020-06-29",1601,1,"13"
"105","2020-06-30",1535,1,"13"
"106","2020-07-01",1463,1,"13"
"107","2020-07-02",1299,1,"13"
"108","2020-07-03",1297,1,"14"
"109","2020-07-04",1749,1,"18"
"110","2020-07-05",2826,0,"19"
"111","2020-07-06",3492,0,"20"
"112","2020-07-07",4226,0,"20"
"113","2020-07-08",4160,0,"20"
"114","2020-07-09",3709,0,"20"
"115","2020-07-10",3448,0,"19"
